Administration,"Management, maintenance, updates and control of servers, routers, clients and other network components."
Apache,Apache is the most popular Web+AKA-server software. It enables a computer to host one or more+AKA-websites+AKA-that can be accessed over the Internet using a+AKA-Web browser.
Audio / Video,Music and Film Production using Logic Pro and Final Cut Pro.
Automation,"Agentless management of installs, deployments and many other tasks that can be automated."
Bash,A command language interpreter that executes commands entered at a+AKA-command prompt and process text file+AKA-input.
Blender,"open source 3D creation suite. It supports modeling, rigging, animation, simulation, rendering, compositing and motion tracking, video editing and a 2D animation pipeline."
Cryptocurrency,"A digital+AKA-record with each transaction linked together in single list called a chain.  Used by cryptocurrencies such as+AKA-Bitcoin, and many other applications."
Bootstrap,"A CSS framework+AKA-directed at responsive,+AKA-mobile-first+AKA-front-end web development."
C / C+-+- / Obj-C,A family of programming languages that derive syntax from the original.  C+-+- and Objective C are supersets of C.
Codeigniter,"An+AKA-open-source software+AKA-rapid development+AKA-web framework, mostly used for building dynamic web sites with+AKA-PHP."
Command Line,A command-line interface (CLI) processes commands in the form of lines of text.
C Preprocessor,"Macro preprocessor+AKA-for the+AKA-C,+AKA-Objective-C+AKA-and+AKA-C+-+-+AKA-computer+AKA-programming languages, allowing header files,+AKA-macro+AKA-expansions,+AKA-conditional compilation, and line control."
CSS,Cascading Style Sheets+AKA(CSS) is a+AKA-style sheet language+AKA-used for describing the+AKA-presentation of a document written in a+AKA-markup language+AKA-such as+AKA-HTML.
Cyber Tools,"Cybersecurity tools - penetration testing, packet sniffing, web vulnerabilities and other tools."
Dev Tools,"Programmer tools used to create, debug, maintain, or otherwise support other programs and applications."
Django,"Django is a high-level Python Web framework that enables rapid development and clean design, takeing care of much of the hassle of Web development,"
Editors,"BBEdit, vi, TextMate and other source editors."
HTML,The standard markup language for documents designed to be displayed in a web browser
ImageMagick,"A cross-platform software suite for displaying, creating, converting, modifying, and editing raster images."
iOS,a mobile operating system created and developed by Apple Inc. exclusively for its hardware operating system powering many of the company's mobile devices.